win_T,lose_T,win_L,diff
Dallas Mavericks,Memphis Grizzlies,A,2
Milwaukee Bucks,Atlanta Hawks,H,8
Oklahoma City Thunder,Minnesota Timberwolves,A,6
New York Knicks,Washington Wizards,H,3
Portland Trail Blazers,Denver Nuggets,H,7
New Orleans Pelicans,Sacramento Kings,A,4
Toronto Raptors,Miami Heat,H,8
New York Knicks,Chicago Bulls,A,10
Charlotte Hornets,Cleveland Cavaliers,A,27
Dallas Mavericks,Phoenix Suns,H,11
Detroit Pistons,Memphis Grizzlies,H,7
Portland Trail Blazers,Los Angeles Lakers,A,3
Miami Heat,Philadelphia 76ers,H,23
Toronto Raptors,Minnesota Timberwolves,A,20
Golden State Warriors,New Orleans Pelicans,A,9
Oklahoma City Thunder,Houston Rockets,H,1
Utah Jazz,Denver Nuggets,H,10
Boston Celtics,Washington Wizards,A,6
Indiana Pacers,Atlanta Hawks,A,1
Brooklyn Nets,Miami Heat,H,19
Orlando Magic,Charlotte Hornets,A,8
Denver Nuggets,Minnesota Timberwolves,H,4
Los Angeles Clippers,Utah Jazz,H,6
Memphis Grizzlies,Golden State Warriors,H,15
Oklahoma City Thunder,Milwaukee Bucks,A,11
Detroit Pistons,New York Knicks,A,26
Philadelphia 76ers,Chicago Bulls,H,16
Portland Trail Blazers,Sacramento Kings,H,5
San Antonio Spurs,Dallas Mavericks,H,11
