win_T,lose_T,win_L,diff
Phoenix Suns,Philadelphia 76ers,A,14
San Antonio Spurs,Detroit Pistons,H,3
Utah Jazz,Washington Wizards,H,47
Oklahoma City Thunder,Utah Jazz,H,6
Washington Wizards,Portland Trail Blazers,A,14
Toronto Raptors,Phoenix Suns,H,13
Boston Celtics,Dallas Mavericks,H,7
Golden State Warriors,Charlotte Hornets,A,14
Cleveland Cavaliers,Sacramento Kings,H,6
Indiana Pacers,Chicago Bulls,H,2
Minnesota Timberwolves,Los Angeles Clippers,A,6
Milwaukee Bucks,Detroit Pistons,H,4
New Orleans Pelicans,Denver Nuggets,H,9
New York Knicks,Memphis Grizzlies,H,11
Orlando Magic,Atlanta Hawks,H,4
San Antonio Spurs,Miami Heat,H,12
Brooklyn Nets,Oklahoma City Thunder,H,5
Los Angeles Lakers,Philadelphia 76ers,A,3
Washington Wizards,Phoenix Suns,A,10
Houston Rockets,Utah Jazz,A,11
Chicago Bulls,Charlotte Hornets,A,8
Golden State Warriors,Detroit Pistons,A,4
Indiana Pacers,Cleveland Cavaliers,H,4
Toronto Raptors,Memphis Grizzlies,A,9
Milwaukee Bucks,Dallas Mavericks,H,7
Sacramento Kings,New Orleans Pelicans,A,7
Denver Nuggets,Orlando Magic,A,14
San Antonio Spurs,Boston Celtics,H,3
Atlanta Hawks,Orlando Magic,H,7
Miami Heat,Brooklyn Nets,A,12
Chicago Bulls,New York Knicks,H,2
Los Angeles Lakers,Charlotte Hornets,A,11
Cleveland Cavaliers,Philadelphia 76ers,H,7
Los Angeles Clippers,Washington Wizards,H,1
Oklahoma City Thunder,Memphis Grizzlies,A,1
Milwaukee Bucks,Utah Jazz,H,17
San Antonio Spurs,Phoenix Suns,A,3
Houston Rockets,Portland Trail Blazers,A,7
Boston Celtics,Detroit Pistons,A,10
Indiana Pacers,Denver Nuggets,H,10
Minnesota Timberwolves,Dallas Mavericks,H,5
New Orleans Pelicans,Philadelphia 76ers,H,7
New York Knicks,Atlanta Hawks,H,4
Toronto Raptors,Sacramento Kings,A,15
Chicago Bulls,Boston Celtics,H,23
Golden State Warriors,Portland Trail Blazers,H,7
Houston Rockets,New Orleans Pelicans,H,7
Los Angeles Clippers,Toronto Raptors,H,5
Miami Heat,Memphis Grizzlies,A,25
Charlotte Hornets,Oklahoma City Thunder,A,13
Brooklyn Nets,Washington Wizards,H,5
Cleveland Cavaliers,Atlanta Hawks,H,9
Dallas Mavericks,San Antonio Spurs,H,6
Denver Nuggets,Detroit Pistons,A,19
Philadelphia 76ers,Minnesota Timberwolves,A,6
New York Knicks,Los Angeles Lakers,H,4
Sacramento Kings,Phoenix Suns,H,7
Boston Celtics,Denver Nuggets,H,6
Chicago Bulls,Utah Jazz,H,3
Houston Rockets,Charlotte Hornets,H,12
Oklahoma City Thunder,Indiana Pacers,A,5
Portland Trail Blazers,Miami Heat,A,7
New Orleans Pelicans,Milwaukee Bucks,H,7
Los Angeles Clippers,Orlando Magic,A,11
Toronto Raptors,Phoenix Suns,A,6
Washington Wizards,Memphis Grizzlies,H,6
Detroit Pistons,Atlanta Hawks,A,14
New York Knicks,Brooklyn Nets,A,7
Cleveland Cavaliers,Los Angeles Lakers,H,9
Golden State Warriors,Dallas Mavericks,H,15
Minnesota Timberwolves,Sacramento Kings,H,23
Utah Jazz,Boston Celtics,A,12
Miami Heat,Charlotte Hornets,A,6
Denver Nuggets,New Orleans Pelicans,H,6
Houston Rockets,San Antonio Spurs,H,15
Detroit Pistons,Indiana Pacers,A,6
Memphis Grizzlies,Atlanta Hawks,H,2
Chicago Bulls,Milwaukee Bucks,A,6
Portland Trail Blazers,Orlando Magic,A,7
Oklahoma City Thunder,Philadelphia 76ers,A,2
Toronto Raptors,Brooklyn Nets,H,33
Washington Wizards,Los Angeles Clippers,H,9
Portland Trail Blazers,Charlotte Hornets,A,2
Cleveland Cavaliers,Utah Jazz,H,9
Houston Rockets,Milwaukee Bucks,H,4
Boston Celtics,Memphis Grizzlies,A,9
Miami Heat,Los Angeles Clippers,H,5
Phoenix Suns,Minnesota Timberwolves,A,2
New York Knicks,Oklahoma City Thunder,H,15
San Antonio Spurs,Dallas Mavericks,H,2
Indiana Pacers,Brooklyn Nets,A,12
Detroit Pistons,Orlando Magic,H,4
Toronto Raptors,Sacramento Kings,H,15
Cleveland Cavaliers,Washington Wizards,A,7
Atlanta Hawks,Miami Heat,H,6
Chicago Bulls,Philadelphia 76ers,H,2
Charlotte Hornets,New York Knicks,H,18
Phoenix Suns,Dallas Mavericks,A,6
Houston Rockets,Utah Jazz,H,21
Boston Celtics,Indiana Pacers,A,1
Golden State Warriors,Los Angeles Lakers,A,2
Minnesota Timberwolves,Portland Trail Blazers,H,1
Oklahoma City Thunder,Denver Nuggets,H,1
San Antonio Spurs,Los Angeles Clippers,H,18
Milwaukee Bucks,Cleveland Cavaliers,H,3
Sacramento Kings,Philadelphia 76ers,A,6
Washington Wizards,New Orleans Pelicans,H,10
Indiana Pacers,Atlanta Hawks,A,10
Miami Heat,Boston Celtics,A,1
Sacramento Kings,Brooklyn Nets,A,5
Chicago Bulls,Orlando Magic,H,18
Toronto Raptors,Charlotte Hornets,A,18
Dallas Mavericks,Detroit Pistons,H,17
Minnesota Timberwolves,Denver Nuggets,A,8
Golden State Warriors,Memphis Grizzlies,H,13
Los Angeles Lakers,Houston Rockets,A,6
Los Angeles Clippers,Phoenix Suns,H,13
Oklahoma City Thunder,Utah Jazz,H,28
San Antonio Spurs,Portland Trail Blazers,A,2
Cleveland Cavaliers,Chicago Bulls,H,3
New York Knicks,Boston Celtics,H,9
Toronto Raptors,Philadelphia 76ers,A,5
Phoenix Suns,Memphis Grizzlies,H,2
Utah Jazz,San Antonio Spurs,H,11
Brooklyn Nets,Washington Wizards,H,35
Detroit Pistons,New York Knicks,H,3
Golden State Warriors,Los Angeles Lakers,H,7
Los Angeles Clippers,Houston Rockets,A,10
Miami Heat,Dallas Mavericks,H,12
Milwaukee Bucks,Charlotte Hornets,H,5
Oklahoma City Thunder,Atlanta Hawks,H,3
New Orleans Pelicans,Orlando Magic,A,14
Denver Nuggets,Portland Trail Blazers,A,17
Atlanta Hawks,Dallas Mavericks,H,5
Boston Celtics,Chicago Bulls,H,25
Charlotte Hornets,Milwaukee Bucks,H,5
Denver Nuggets,Golden State Warriors,A,15
Indiana Pacers,Brooklyn Nets,H,4
Portland Trail Blazers,Los Angeles Lakers,A,3
Memphis Grizzlies,Los Angeles Clippers,H,3
New Orleans Pelicans,Miami Heat,A,15
Minnesota Timberwolves,Phoenix Suns,A,9
San Antonio Spurs,Sacramento Kings,A,9
Toronto Raptors,Philadelphia 76ers,H,16
Oklahoma City Thunder,Utah Jazz,A,14
Washington Wizards,Orlando Magic,H,27
Washington Wizards,Boston Celtics,A,8
Golden State Warriors,Cleveland Cavaliers,H,7
Minnesota Timberwolves,Los Angeles Lakers,A,17
Philadelphia 76ers,New York Knicks,A,7
Oklahoma City Thunder,Houston Rockets,H,5
Dallas Mavericks,Toronto Raptors,H,5
Denver Nuggets,Utah Jazz,H,24
Detroit Pistons,Indiana Pacers,H,24
Los Angeles Clippers,Sacramento Kings,H,27
Miami Heat,Orlando Magic,H,18
Chicago Bulls,Milwaukee Bucks,A,9
Phoenix Suns,Memphis Grizzlies,H,2
San Antonio Spurs,Brooklyn Nets,H,12
Atlanta Hawks,Washington Wizards,H,14
Chicago Bulls,New York Knicks,H,5
Boston Celtics,Charlotte Hornets,A,11
Golden State Warriors,Utah Jazz,H,25
Dallas Mavericks,Indiana Pacers,A,4
Memphis Grizzlies,Los Angeles Lakers,A,10
Minnesota Timberwolves,Denver Nuggets,H,3
New Orleans Pelicans,Brooklyn Nets,H,15
Oklahoma City Thunder,Toronto Raptors,H,17
Sacramento Kings,Cleveland Cavaliers,H,14
Boston Celtics,Houston Rockets,H,1
Milwaukee Bucks,Minnesota Timberwolves,H,6
Orlando Magic,Detroit Pistons,H,13
Portland Trail Blazers,Philadelphia 76ers,H,4
San Antonio Spurs,New York Knicks,H,12
Chicago Bulls,Indiana Pacers,H,12
Charlotte Hornets,Golden State Warriors,A,11
Los Angeles Clippers,Los Angeles Lakers,A,15
Brooklyn Nets,Miami Heat,A,24
Dallas Mavericks,New Orleans Pelicans,A,8
Milwaukee Bucks,Oklahoma City Thunder,A,2
Phoenix Suns,Sacramento Kings,A,10
Toronto Raptors,Atlanta Hawks,H,13
Washington Wizards,Houston Rockets,H,18
Atlanta Hawks,Portland Trail Blazers,H,15
Philadelphia 76ers,Denver Nuggets,A,5
Detroit Pistons,San Antonio Spurs,H,14
Golden State Warriors,Memphis Grizzlies,H,13
New York Knicks,New Orleans Pelicans,A,2
Miami Heat,Orlando Magic,A,6
Utah Jazz,Cleveland Cavaliers,H,3
Boston Celtics,Brooklyn Nets,H,3
Houston Rockets,Los Angeles Lakers,H,6
Minnesota Timberwolves,Indiana Pacers,A,17
Los Angeles Clippers,Charlotte Hornets,H,8
Dallas Mavericks,Oklahoma City Thunder,A,3
Philadelphia 76ers,Phoenix Suns,A,13
Memphis Grizzlies,Sacramento Kings,A,18
Washington Wizards,Chicago Bulls,H,4
Brooklyn Nets,Orlando Magic,H,3
Portland Trail Blazers,Chicago Bulls,A,4
Minnesota Timberwolves,Los Angeles Lakers,H,18
Toronto Raptors,Milwaukee Bucks,H,4
Cleveland Cavaliers,Portland Trail Blazers,H,17
Los Angeles Clippers,Memphis Grizzlies,H,8
San Antonio Spurs,New York Knicks,A,9
Phoenix Suns,Atlanta Hawks,H,1
Charlotte Hornets,Sacramento Kings,A,20
Boston Celtics,Cleveland Cavaliers,H,14
Brooklyn Nets,Minnesota Timberwolves,H,1
Toronto Raptors,Chicago Bulls,A,9
Golden State Warriors,Dallas Mavericks,A,3
Denver Nuggets,Phoenix Suns,H,23
Oklahoma City Thunder,Los Angeles Lakers,A,37
Miami Heat,Detroit Pistons,H,7
Milwaukee Bucks,Indiana Pacers,H,21
Houston Rockets,Orlando Magic,A,18
Philadelphia 76ers,San Antonio Spurs,H,6
New Orleans Pelicans,Utah Jazz,A,10
Washington Wizards,New York Knicks,H,18
Golden State Warriors,Houston Rockets,A,10
Oklahoma City Thunder,Los Angeles Clippers,A,10
Boston Celtics,Minnesota Timberwolves,H,7
Chicago Bulls,Dallas Mavericks,A,3
Denver Nuggets,Utah Jazz,H,8
Charlotte Hornets,Los Angeles Lakers,A,14
Washington Wizards,Memphis Grizzlies,A,2
Miami Heat,New York Knicks,H,4
Toronto Raptors,Milwaukee Bucks,A,19
Philadelphia 76ers,Detroit Pistons,H,36
Portland Trail Blazers,Atlanta Hawks,H,21
San Antonio Spurs,Phoenix Suns,H,14
Boston Celtics,Brooklyn Nets,A,2
Detroit Pistons,Houston Rockets,H,7
Indiana Pacers,Chicago Bulls,H,39
Golden State Warriors,Los Angeles Clippers,A,16
Minnesota Timberwolves,New Orleans Pelicans,H,18
Cleveland Cavaliers,Orlando Magic,A,4
Sacramento Kings,Denver Nuggets,H,8
Milwaukee Bucks,Washington Wizards,A,7
New York Knicks,Dallas Mavericks,A,4
Los Angeles Lakers,Atlanta Hawks,H,19
Miami Heat,Utah Jazz,H,1
Phoenix Suns,Oklahoma City Thunder,H,14
Portland Trail Blazers,San Antonio Spurs,H,1
Toronto Raptors,Brooklyn Nets,A,1
Houston Rockets,Chicago Bulls,A,9
Golden State Warriors,Denver Nuggets,H,10
Indiana Pacers,Milwaukee Bucks,H,13
Los Angeles Clippers,Atlanta Hawks,H,1
Minnesota Timberwolves,Cleveland Cavaliers,H,28
New Orleans Pelicans,Detroit Pistons,H,3
San Antonio Spurs,Sacramento Kings,A,7
Dallas Mavericks,Orlando Magic,H,15
